,metric,reporter,count,sample
1924,unrepaired,GFP_BAR_006,126,TK6_WT_24h_BR2
1925,A,GFP_BAR_007,10,TK6_WT_24h_BR2
1926,C,GFP_BAR_007,2,TK6_WT_24h_BR2
1927,G,GFP_BAR_007,7522,TK6_WT_24h_BR2
1928,T,GFP_BAR_007,926,TK6_WT_24h_BR2
1929,del,GFP_BAR_007,41,TK6_WT_24h_BR2
1930,del_mh,GFP_BAR_007,0,TK6_WT_24h_BR2
1931,del_nomh,GFP_BAR_007,41,TK6_WT_24h_BR2
1932,ins,GFP_BAR_007,1,TK6_WT_24h_BR2
1933,repaired,GFP_BAR_007,7522,TK6_WT_24h_BR2
1934,total,GFP_BAR_007,8501,TK6_WT_24h_BR2
1935,unrepaired,GFP_BAR_007,926,TK6_WT_24h_BR2
1936,A,GFP_BAR_008,28,TK6_WT_24h_BR2
1937,C,GFP_BAR_008,0,TK6_WT_24h_BR2
1938,G,GFP_BAR_008,4559,TK6_WT_24h_BR2
1939,T,GFP_BAR_008,0,TK6_WT_24h_BR2
1940,del,GFP_BAR_008,2,TK6_WT_24h_BR2
1941,del_mh,GFP_BAR_008,0,TK6_WT_24h_BR2
1942,del_nomh,GFP_BAR_008,2,TK6_WT_24h_BR2
1943,ins,GFP_BAR_008,0,TK6_WT_24h_BR2
1944,repaired,GFP_BAR_008,4559,TK6_WT_24h_BR2
1945,total,GFP_BAR_008,4589,TK6_WT_24h_BR2
1946,unrepaired,GFP_BAR_008,28,TK6_WT_24h_BR2
1947,A,GFP_BAR_009,7,TK6_WT_24h_BR2
1948,C,GFP_BAR_009,596,TK6_WT_24h_BR2
1949,G,GFP_BAR_009,14,TK6_WT_24h_BR2
1950,T,GFP_BAR_009,3619,TK6_WT_24h_BR2
1951,del,GFP_BAR_009,23,TK6_WT_24h_BR2
1952,del_mh,GFP_BAR_009,0,TK6_WT_24h_BR2
1953,del_nomh,GFP_BAR_009,23,TK6_WT_24h_BR2
1954,ins,GFP_BAR_009,0,TK6_WT_24h_BR2
1955,repaired,GFP_BAR_009,3619,TK6_WT_24h_BR2
1956,total,GFP_BAR_009,4259,TK6_WT_24h_BR2
1957,unrepaired,GFP_BAR_009,596,TK6_WT_24h_BR2
1958,A,GFP_BAR_010,0,TK6_WT_24h_BR2
1959,C,GFP_BAR_010,0,TK6_WT_24h_BR2
1960,G,GFP_BAR_010,0,TK6_WT_24h_BR2
1961,T,GFP_BAR_010,0,TK6_WT_24h_BR2
1962,del,GFP_BAR_010,0,TK6_WT_24h_BR2
1963,del_mh,GFP_BAR_010,0,TK6_WT_24h_BR2
1964,del_nomh,GFP_BAR_010,0,TK6_WT_24h_BR2
1965,ins,GFP_BAR_010,0,TK6_WT_24h_BR2
1966,repaired,GFP_BAR_010,0,TK6_WT_24h_BR2
1967,total,GFP_BAR_010,8109,TK6_WT_24h_BR2
1968,unrepaired,GFP_BAR_010,0,TK6_WT_24h_BR2
1969,A,GFP_BAR_DSBR_2,0,TK6_WT_24h_BR2
1970,C,GFP_BAR_DSBR_2,0,TK6_WT_24h_BR2
1971,G,GFP_BAR_DSBR_2,0,TK6_WT_24h_BR2
1972,T,GFP_BAR_DSBR_2,0,TK6_WT_24h_BR2
1973,del,GFP_BAR_DSBR_2,185,TK6_WT_24h_BR2
1974,del_mh,GFP_BAR_DSBR_2,23,TK6_WT_24h_BR2
1975,del_nomh,GFP_BAR_DSBR_2,162,TK6_WT_24h_BR2
1976,ins,GFP_BAR_DSBR_2,4,TK6_WT_24h_BR2
1977,repaired,GFP_BAR_DSBR_2,0,TK6_WT_24h_BR2
1978,total,GFP_BAR_DSBR_2,3393,TK6_WT_24h_BR2
1979,unrepaired,GFP_BAR_DSBR_2,0,TK6_WT_24h_BR2
1980,A,GFP_BAR_003,0,HAP1_WT_2h_BR2
1981,C,GFP_BAR_003,1181,HAP1_WT_2h_BR2
1982,G,GFP_BAR_003,378,HAP1_WT_2h_BR2
1983,T,GFP_BAR_003,0,HAP1_WT_2h_BR2
1984,del,GFP_BAR_003,0,HAP1_WT_2h_BR2
1985,del_mh,GFP_BAR_003,0,HAP1_WT_2h_BR2
1986,del_nomh,GFP_BAR_003,0,HAP1_WT_2h_BR2
1987,ins,GFP_BAR_003,0,HAP1_WT_2h_BR2
1988,repaired,GFP_BAR_003,378,HAP1_WT_2h_BR2
1989,total,GFP_BAR_003,1559,HAP1_WT_2h_BR2
1990,unrepaired,GFP_BAR_003,1181,HAP1_WT_2h_BR2
1991,A,GFP_BAR_004,0,HAP1_WT_2h_BR2
1992,C,GFP_BAR_004,0,HAP1_WT_2h_BR2
1993,G,GFP_BAR_004,0,HAP1_WT_2h_BR2
1994,T,GFP_BAR_004,0,HAP1_WT_2h_BR2
1995,del,GFP_BAR_004,0,HAP1_WT_2h_BR2
1996,del_mh,GFP_BAR_004,0,HAP1_WT_2h_BR2
1997,del_nomh,GFP_BAR_004,0,HAP1_WT_2h_BR2
1998,ins,GFP_BAR_004,0,HAP1_WT_2h_BR2
1999,repaired,GFP_BAR_004,0,HAP1_WT_2h_BR2
2000,total,GFP_BAR_004,77,HAP1_WT_2h_BR2
2001,unrepaired,GFP_BAR_004,0,HAP1_WT_2h_BR2
2002,A,GFP_BAR_005,4,HAP1_WT_2h_BR2
2003,C,GFP_BAR_005,4092,HAP1_WT_2h_BR2
2004,G,GFP_BAR_005,0,HAP1_WT_2h_BR2
2005,T,GFP_BAR_005,1896,HAP1_WT_2h_BR2
2006,del,GFP_BAR_005,16,HAP1_WT_2h_BR2
2007,del_mh,GFP_BAR_005,0,HAP1_WT_2h_BR2
2008,del_nomh,GFP_BAR_005,16,HAP1_WT_2h_BR2
2009,ins,GFP_BAR_005,1,HAP1_WT_2h_BR2
2010,repaired,GFP_BAR_005,4092,HAP1_WT_2h_BR2
2011,total,GFP_BAR_005,6008,HAP1_WT_2h_BR2
2012,unrepaired,GFP_BAR_005,1896,HAP1_WT_2h_BR2
2013,A,GFP_BAR_006,863,HAP1_WT_2h_BR2
2014,C,GFP_BAR_006,4438,HAP1_WT_2h_BR2
2015,G,GFP_BAR_006,2,HAP1_WT_2h_BR2
2016,T,GFP_BAR_006,4,HAP1_WT_2h_BR2
2017,del,GFP_BAR_006,21,HAP1_WT_2h_BR2
2018,del_mh,GFP_BAR_006,1,HAP1_WT_2h_BR2
2019,del_nomh,GFP_BAR_006,20,HAP1_WT_2h_BR2
2020,ins,GFP_BAR_006,1,HAP1_WT_2h_BR2
2021,repaired,GFP_BAR_006,4438,HAP1_WT_2h_BR2
2022,total,GFP_BAR_006,5328,HAP1_WT_2h_BR2
2023,unrepaired,GFP_BAR_006,863,HAP1_WT_2h_BR2
2024,A,GFP_BAR_007,11,HAP1_WT_2h_BR2
2025,C,GFP_BAR_007,4,HAP1_WT_2h_BR2
2026,G,GFP_BAR_007,2039,HAP1_WT_2h_BR2
2027,T,GFP_BAR_007,1066,HAP1_WT_2h_BR2
2028,del,GFP_BAR_007,220,HAP1_WT_2h_BR2
2029,del_mh,GFP_BAR_007,0,HAP1_WT_2h_BR2
2030,del_nomh,GFP_BAR_007,220,HAP1_WT_2h_BR2
2031,ins,GFP_BAR_007,0,HAP1_WT_2h_BR2
2032,repaired,GFP_BAR_007,2039,HAP1_WT_2h_BR2
2033,total,GFP_BAR_007,3340,HAP1_WT_2h_BR2
2034,unrepaired,GFP_BAR_007,1066,HAP1_WT_2h_BR2
2035,A,GFP_BAR_008,49,HAP1_WT_2h_BR2
2036,C,GFP_BAR_008,1,HAP1_WT_2h_BR2
2037,G,GFP_BAR_008,8026,HAP1_WT_2h_BR2
2038,T,GFP_BAR_008,1,HAP1_WT_2h_BR2
2039,del,GFP_BAR_008,13,HAP1_WT_2h_BR2
2040,del_mh,GFP_BAR_008,2,HAP1_WT_2h_BR2
2041,del_nomh,GFP_BAR_008,11,HAP1_WT_2h_BR2
2042,ins,GFP_BAR_008,0,HAP1_WT_2h_BR2
2043,repaired,GFP_BAR_008,8026,HAP1_WT_2h_BR2
2044,total,GFP_BAR_008,8090,HAP1_WT_2h_BR2
2045,unrepaired,GFP_BAR_008,49,HAP1_WT_2h_BR2
2046,A,GFP_BAR_009,4,HAP1_WT_2h_BR2
2047,C,GFP_BAR_009,2610,HAP1_WT_2h_BR2
2048,G,GFP_BAR_009,4,HAP1_WT_2h_BR2
2049,T,GFP_BAR_009,5255,HAP1_WT_2h_BR2
2050,del,GFP_BAR_009,82,HAP1_WT_2h_BR2
2051,del_mh,GFP_BAR_009,0,HAP1_WT_2h_BR2
2052,del_nomh,GFP_BAR_009,82,HAP1_WT_2h_BR2
2053,ins,GFP_BAR_009,0,HAP1_WT_2h_BR2
2054,repaired,GFP_BAR_009,5255,HAP1_WT_2h_BR2
2055,total,GFP_BAR_009,7955,HAP1_WT_2h_BR2
2056,unrepaired,GFP_BAR_009,2610,HAP1_WT_2h_BR2
2057,A,GFP_BAR_010,0,HAP1_WT_2h_BR2
2058,C,GFP_BAR_010,0,HAP1_WT_2h_BR2
2059,G,GFP_BAR_010,0,HAP1_WT_2h_BR2
2060,T,GFP_BAR_010,0,HAP1_WT_2h_BR2
2061,del,GFP_BAR_010,0,HAP1_WT_2h_BR2
2062,del_mh,GFP_BAR_010,0,HAP1_WT_2h_BR2
2063,del_nomh,GFP_BAR_010,0,HAP1_WT_2h_BR2
2064,ins,GFP_BAR_010,0,HAP1_WT_2h_BR2
2065,repaired,GFP_BAR_010,0,HAP1_WT_2h_BR2
2066,total,GFP_BAR_010,3347,HAP1_WT_2h_BR2
2067,unrepaired,GFP_BAR_010,0,HAP1_WT_2h_BR2
2068,A,GFP_BAR_DSBR_2,0,HAP1_WT_2h_BR2
2069,C,GFP_BAR_DSBR_2,0,HAP1_WT_2h_BR2
2070,G,GFP_BAR_DSBR_2,0,HAP1_WT_2h_BR2
2071,T,GFP_BAR_DSBR_2,0,HAP1_WT_2h_BR2
2072,del,GFP_BAR_DSBR_2,21,HAP1_WT_2h_BR2
2073,del_mh,GFP_BAR_DSBR_2,1,HAP1_WT_2h_BR2
2074,del_nomh,GFP_BAR_DSBR_2,20,HAP1_WT_2h_BR2
2075,ins,GFP_BAR_DSBR_2,3,HAP1_WT_2h_BR2
2076,repaired,GFP_BAR_DSBR_2,0,HAP1_WT_2h_BR2
2077,total,GFP_BAR_DSBR_2,8697,HAP1_WT_2h_BR2
2078,unrepaired,GFP_BAR_DSBR_2,0,HAP1_WT_2h_BR2
2079,A,GFP_BAR_003,0,HAP1_WT_1h_BR1
2080,C,GFP_BAR_003,257,HAP1_WT_1h_BR1
2081,G,GFP_BAR_003,81,HAP1_WT_1h_BR1
2082,T,GFP_BAR_003,0,HAP1_WT_1h_BR1
2083,del,GFP_BAR_003,0,HAP1_WT_1h_BR1
2084,del_mh,GFP_BAR_003,0,HAP1_WT_1h_BR1
2085,del_nomh,GFP_BAR_003,0,HAP1_WT_1h_BR1
2086,ins,GFP_BAR_003,0,HAP1_WT_1h_BR1
2087,repaired,GFP_BAR_003,81,HAP1_WT_1h_BR1
2088,total,GFP_BAR_003,338,HAP1_WT_1h_BR1
2089,unrepaired,GFP_BAR_003,257,HAP1_WT_1h_BR1
2090,A,GFP_BAR_004,0,HAP1_WT_1h_BR1
2091,C,GFP_BAR_004,0,HAP1_WT_1h_BR1
2092,G,GFP_BAR_004,0,HAP1_WT_1h_BR1
2093,T,GFP_BAR_004,0,HAP1_WT_1h_BR1
2094,del,GFP_BAR_004,0,HAP1_WT_1h_BR1
2095,del_mh,GFP_BAR_004,0,HAP1_WT_1h_BR1
2096,del_nomh,GFP_BAR_004,0,HAP1_WT_1h_BR1
2097,ins,GFP_BAR_004,0,HAP1_WT_1h_BR1
2098,repaired,GFP_BAR_004,0,HAP1_WT_1h_BR1
2099,total,GFP_BAR_004,11,HAP1_WT_1h_BR1
2100,unrepaired,GFP_BAR_004,0,HAP1_WT_1h_BR1
2101,A,GFP_BAR_005,0,HAP1_WT_1h_BR1
2102,C,GFP_BAR_005,826,HAP1_WT_1h_BR1
2103,G,GFP_BAR_005,0,HAP1_WT_1h_BR1
2104,T,GFP_BAR_005,320,HAP1_WT_1h_BR1
2105,del,GFP_BAR_005,3,HAP1_WT_1h_BR1
2106,del_mh,GFP_BAR_005,0,HAP1_WT_1h_BR1
2107,del_nomh,GFP_BAR_005,3,HAP1_WT_1h_BR1
2108,ins,GFP_BAR_005,0,HAP1_WT_1h_BR1
2109,repaired,GFP_BAR_005,826,HAP1_WT_1h_BR1
2110,total,GFP_BAR_005,1149,HAP1_WT_1h_BR1
2111,unrepaired,GFP_BAR_005,320,HAP1_WT_1h_BR1
2112,A,GFP_BAR_006,174,HAP1_WT_1h_BR1
2113,C,GFP_BAR_006,815,HAP1_WT_1h_BR1
2114,G,GFP_BAR_006,0,HAP1_WT_1h_BR1
2115,T,GFP_BAR_006,0,HAP1_WT_1h_BR1
2116,del,GFP_BAR_006,6,HAP1_WT_1h_BR1
2117,del_mh,GFP_BAR_006,0,HAP1_WT_1h_BR1
2118,del_nomh,GFP_BAR_006,6,HAP1_WT_1h_BR1
2119,ins,GFP_BAR_006,0,HAP1_WT_1h_BR1
2120,repaired,GFP_BAR_006,815,HAP1_WT_1h_BR1
2121,total,GFP_BAR_006,995,HAP1_WT_1h_BR1
2122,unrepaired,GFP_BAR_006,174,HAP1_WT_1h_BR1
2123,A,GFP_BAR_007,10,HAP1_WT_1h_BR1
2124,C,GFP_BAR_007,0,HAP1_WT_1h_BR1
2125,G,GFP_BAR_007,214,HAP1_WT_1h_BR1
2126,T,GFP_BAR_007,236,HAP1_WT_1h_BR1
2127,del,GFP_BAR_007,55,HAP1_WT_1h_BR1
2128,del_mh,GFP_BAR_007,2,HAP1_WT_1h_BR1
2129,del_nomh,GFP_BAR_007,53,HAP1_WT_1h_BR1
2130,ins,GFP_BAR_007,0,HAP1_WT_1h_BR1
2131,repaired,GFP_BAR_007,214,HAP1_WT_1h_BR1
2132,total,GFP_BAR_007,515,HAP1_WT_1h_BR1
2133,unrepaired,GFP_BAR_007,236,HAP1_WT_1h_BR1
2134,A,GFP_BAR_008,11,HAP1_WT_1h_BR1
2135,C,GFP_BAR_008,1,HAP1_WT_1h_BR1
2136,G,GFP_BAR_008,1904,HAP1_WT_1h_BR1
2137,T,GFP_BAR_008,0,HAP1_WT_1h_BR1
2138,del,GFP_BAR_008,3,HAP1_WT_1h_BR1
2139,del_mh,GFP_BAR_008,0,HAP1_WT_1h_BR1
2140,del_nomh,GFP_BAR_008,3,HAP1_WT_1h_BR1
2141,ins,GFP_BAR_008,0,HAP1_WT_1h_BR1
2142,repaired,GFP_BAR_008,1904,HAP1_WT_1h_BR1
2143,total,GFP_BAR_008,1919,HAP1_WT_1h_BR1
2144,unrepaired,GFP_BAR_008,11,HAP1_WT_1h_BR1
2145,A,GFP_BAR_009,0,HAP1_WT_1h_BR1
2146,C,GFP_BAR_009,626,HAP1_WT_1h_BR1
2147,G,GFP_BAR_009,1,HAP1_WT_1h_BR1
2148,T,GFP_BAR_009,1108,HAP1_WT_1h_BR1
2149,del,GFP_BAR_009,16,HAP1_WT_1h_BR1
2150,del_mh,GFP_BAR_009,0,HAP1_WT_1h_BR1
2151,del_nomh,GFP_BAR_009,16,HAP1_WT_1h_BR1
2152,ins,GFP_BAR_009,0,HAP1_WT_1h_BR1
2153,repaired,GFP_BAR_009,1108,HAP1_WT_1h_BR1
2154,total,GFP_BAR_009,1751,HAP1_WT_1h_BR1
2155,unrepaired,GFP_BAR_009,626,HAP1_WT_1h_BR1
2156,A,GFP_BAR_010,0,HAP1_WT_1h_BR1
2157,C,GFP_BAR_010,0,HAP1_WT_1h_BR1
2158,G,GFP_BAR_010,0,HAP1_WT_1h_BR1
2159,T,GFP_BAR_010,0,HAP1_WT_1h_BR1
2160,del,GFP_BAR_010,0,HAP1_WT_1h_BR1
2161,del_mh,GFP_BAR_010,0,HAP1_WT_1h_BR1
2162,del_nomh,GFP_BAR_010,0,HAP1_WT_1h_BR1
2163,ins,GFP_BAR_010,0,HAP1_WT_1h_BR1
2164,repaired,GFP_BAR_010,0,HAP1_WT_1h_BR1
2165,total,GFP_BAR_010,693,HAP1_WT_1h_BR1
2166,unrepaired,GFP_BAR_010,0,HAP1_WT_1h_BR1
2167,A,GFP_BAR_DSBR_2,0,HAP1_WT_1h_BR1
2168,C,GFP_BAR_DSBR_2,0,HAP1_WT_1h_BR1
2169,G,GFP_BAR_DSBR_2,0,HAP1_WT_1h_BR1
2170,T,GFP_BAR_DSBR_2,0,HAP1_WT_1h_BR1
2171,del,GFP_BAR_DSBR_2,12,HAP1_WT_1h_BR1
2172,del_mh,GFP_BAR_DSBR_2,0,HAP1_WT_1h_BR1
2173,del_nomh,GFP_BAR_DSBR_2,12,HAP1_WT_1h_BR1
2174,ins,GFP_BAR_DSBR_2,1,HAP1_WT_1h_BR1
2175,repaired,GFP_BAR_DSBR_2,0,HAP1_WT_1h_BR1
2176,total,GFP_BAR_DSBR_2,1369,HAP1_WT_1h_BR1
2177,unrepaired,GFP_BAR_DSBR_2,0,HAP1_WT_1h_BR1
2178,A,GFP_BAR_003,0,U2OS_MGMT_2h_BR2
2179,C,GFP_BAR_003,10116,U2OS_MGMT_2h_BR2
2180,G,GFP_BAR_003,911,U2OS_MGMT_2h_BR2
2181,T,GFP_BAR_003,0,U2OS_MGMT_2h_BR2
2182,del,GFP_BAR_003,3,U2OS_MGMT_2h_BR2
2183,del_mh,GFP_BAR_003,0,U2OS_MGMT_2h_BR2
2184,del_nomh,GFP_BAR_003,3,U2OS_MGMT_2h_BR2
2185,ins,GFP_BAR_003,0,U2OS_MGMT_2h_BR2
2186,repaired,GFP_BAR_003,911,U2OS_MGMT_2h_BR2
2187,total,GFP_BAR_003,11030,U2OS_MGMT_2h_BR2
2188,unrepaired,GFP_BAR_003,10116,U2OS_MGMT_2h_BR2
2189,A,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2190,C,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2191,G,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2192,T,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2193,del,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2194,del_mh,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2195,del_nomh,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2196,ins,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2197,repaired,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2198,total,GFP_BAR_004,408,U2OS_MGMT_2h_BR2
2199,unrepaired,GFP_BAR_004,0,U2OS_MGMT_2h_BR2
2200,A,GFP_BAR_005,11,U2OS_MGMT_2h_BR2
2201,C,GFP_BAR_005,2202,U2OS_MGMT_2h_BR2
2202,G,GFP_BAR_005,8,U2OS_MGMT_2h_BR2
2203,T,GFP_BAR_005,10694,U2OS_MGMT_2h_BR2
2204,del,GFP_BAR_005,20,U2OS_MGMT_2h_BR2
2205,del_mh,GFP_BAR_005,0,U2OS_MGMT_2h_BR2
2206,del_nomh,GFP_BAR_005,20,U2OS_MGMT_2h_BR2
2207,ins,GFP_BAR_005,0,U2OS_MGMT_2h_BR2
2208,repaired,GFP_BAR_005,2202,U2OS_MGMT_2h_BR2
2209,total,GFP_BAR_005,12935,U2OS_MGMT_2h_BR2
2210,unrepaired,GFP_BAR_005,10694,U2OS_MGMT_2h_BR2
2211,A,GFP_BAR_006,1033,U2OS_MGMT_2h_BR2
2212,C,GFP_BAR_006,11414,U2OS_MGMT_2h_BR2
2213,G,GFP_BAR_006,9,U2OS_MGMT_2h_BR2
2214,T,GFP_BAR_006,63,U2OS_MGMT_2h_BR2
2215,del,GFP_BAR_006,43,U2OS_MGMT_2h_BR2
2216,del_mh,GFP_BAR_006,2,U2OS_MGMT_2h_BR2
2217,del_nomh,GFP_BAR_006,41,U2OS_MGMT_2h_BR2
2218,ins,GFP_BAR_006,0,U2OS_MGMT_2h_BR2
2219,repaired,GFP_BAR_006,11414,U2OS_MGMT_2h_BR2
2220,total,GFP_BAR_006,12562,U2OS_MGMT_2h_BR2
2221,unrepaired,GFP_BAR_006,1033,U2OS_MGMT_2h_BR2
2222,A,GFP_BAR_007,15,U2OS_MGMT_2h_BR2
2223,C,GFP_BAR_007,32,U2OS_MGMT_2h_BR2
2224,G,GFP_BAR_007,3717,U2OS_MGMT_2h_BR2
2225,T,GFP_BAR_007,2645,U2OS_MGMT_2h_BR2
2226,del,GFP_BAR_007,256,U2OS_MGMT_2h_BR2
2227,del_mh,GFP_BAR_007,0,U2OS_MGMT_2h_BR2
2228,del_nomh,GFP_BAR_007,256,U2OS_MGMT_2h_BR2
2229,ins,GFP_BAR_007,0,U2OS_MGMT_2h_BR2
2230,repaired,GFP_BAR_007,3717,U2OS_MGMT_2h_BR2
2231,total,GFP_BAR_007,6665,U2OS_MGMT_2h_BR2
2232,unrepaired,GFP_BAR_007,2645,U2OS_MGMT_2h_BR2
2233,A,GFP_BAR_008,49,U2OS_MGMT_2h_BR2
2234,C,GFP_BAR_008,1,U2OS_MGMT_2h_BR2
2235,G,GFP_BAR_008,16815,U2OS_MGMT_2h_BR2
2236,T,GFP_BAR_008,6,U2OS_MGMT_2h_BR2
2237,del,GFP_BAR_008,18,U2OS_MGMT_2h_BR2
2238,del_mh,GFP_BAR_008,1,U2OS_MGMT_2h_BR2
2239,del_nomh,GFP_BAR_008,17,U2OS_MGMT_2h_BR2
2240,ins,GFP_BAR_008,0,U2OS_MGMT_2h_BR2
2241,repaired,GFP_BAR_008,16815,U2OS_MGMT_2h_BR2
2242,total,GFP_BAR_008,16889,U2OS_MGMT_2h_BR2
2243,unrepaired,GFP_BAR_008,49,U2OS_MGMT_2h_BR2
2244,A,GFP_BAR_009,18,U2OS_MGMT_2h_BR2
2245,C,GFP_BAR_009,8892,U2OS_MGMT_2h_BR2
2246,G,GFP_BAR_009,30,U2OS_MGMT_2h_BR2
2247,T,GFP_BAR_009,10623,U2OS_MGMT_2h_BR2
2248,del,GFP_BAR_009,264,U2OS_MGMT_2h_BR2
2249,del_mh,GFP_BAR_009,0,U2OS_MGMT_2h_BR2
2250,del_nomh,GFP_BAR_009,264,U2OS_MGMT_2h_BR2
2251,ins,GFP_BAR_009,0,U2OS_MGMT_2h_BR2
2252,repaired,GFP_BAR_009,10623,U2OS_MGMT_2h_BR2
2253,total,GFP_BAR_009,19827,U2OS_MGMT_2h_BR2
2254,unrepaired,GFP_BAR_009,8892,U2OS_MGMT_2h_BR2
2255,A,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2256,C,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2257,G,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2258,T,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2259,del,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2260,del_mh,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2261,del_nomh,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2262,ins,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2263,repaired,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2264,total,GFP_BAR_010,7786,U2OS_MGMT_2h_BR2
2265,unrepaired,GFP_BAR_010,0,U2OS_MGMT_2h_BR2
2266,A,GFP_BAR_DSBR_2,0,U2OS_MGMT_2h_BR2
2267,C,GFP_BAR_DSBR_2,0,U2OS_MGMT_2h_BR2
2268,G,GFP_BAR_DSBR_2,0,U2OS_MGMT_2h_BR2
2269,T,GFP_BAR_DSBR_2,0,U2OS_MGMT_2h_BR2
2270,del,GFP_BAR_DSBR_2,935,U2OS_MGMT_2h_BR2
2271,del_mh,GFP_BAR_DSBR_2,158,U2OS_MGMT_2h_BR2
2272,del_nomh,GFP_BAR_DSBR_2,777,U2OS_MGMT_2h_BR2
2273,ins,GFP_BAR_DSBR_2,41,U2OS_MGMT_2h_BR2
2274,repaired,GFP_BAR_DSBR_2,0,U2OS_MGMT_2h_BR2
2275,total,GFP_BAR_DSBR_2,24560,U2OS_MGMT_2h_BR2
2276,unrepaired,GFP_BAR_DSBR_2,0,U2OS_MGMT_2h_BR2
2277,A,GFP_BAR_003,0,U2OS_WT_1h_BR4
2278,C,GFP_BAR_003,5537,U2OS_WT_1h_BR4
2279,G,GFP_BAR_003,571,U2OS_WT_1h_BR4
2280,T,GFP_BAR_003,0,U2OS_WT_1h_BR4
2281,del,GFP_BAR_003,2,U2OS_WT_1h_BR4
2282,del_mh,GFP_BAR_003,0,U2OS_WT_1h_BR4
2283,del_nomh,GFP_BAR_003,2,U2OS_WT_1h_BR4
2284,ins,GFP_BAR_003,0,U2OS_WT_1h_BR4
2285,repaired,GFP_BAR_003,571,U2OS_WT_1h_BR4
2286,total,GFP_BAR_003,6110,U2OS_WT_1h_BR4
2287,unrepaired,GFP_BAR_003,5537,U2OS_WT_1h_BR4
2288,A,GFP_BAR_004,0,U2OS_WT_1h_BR4
2289,C,GFP_BAR_004,0,U2OS_WT_1h_BR4
2290,G,GFP_BAR_004,0,U2OS_WT_1h_BR4
2291,T,GFP_BAR_004,0,U2OS_WT_1h_BR4
2292,del,GFP_BAR_004,0,U2OS_WT_1h_BR4
2293,del_mh,GFP_BAR_004,0,U2OS_WT_1h_BR4
2294,del_nomh,GFP_BAR_004,0,U2OS_WT_1h_BR4
2295,ins,GFP_BAR_004,0,U2OS_WT_1h_BR4
2296,repaired,GFP_BAR_004,0,U2OS_WT_1h_BR4
2297,total,GFP_BAR_004,171,U2OS_WT_1h_BR4
2298,unrepaired,GFP_BAR_004,0,U2OS_WT_1h_BR4
2299,A,GFP_BAR_005,6,U2OS_WT_1h_BR4
2300,C,GFP_BAR_005,5503,U2OS_WT_1h_BR4
2301,G,GFP_BAR_005,3,U2OS_WT_1h_BR4
2302,T,GFP_BAR_005,3270,U2OS_WT_1h_BR4
2303,del,GFP_BAR_005,6,U2OS_WT_1h_BR4
2304,del_mh,GFP_BAR_005,0,U2OS_WT_1h_BR4
2305,del_nomh,GFP_BAR_005,6,U2OS_WT_1h_BR4
2306,ins,GFP_BAR_005,1,U2OS_WT_1h_BR4
2307,repaired,GFP_BAR_005,5503,U2OS_WT_1h_BR4
2308,total,GFP_BAR_005,8788,U2OS_WT_1h_BR4
2309,unrepaired,GFP_BAR_005,3270,U2OS_WT_1h_BR4
2310,A,GFP_BAR_006,815,U2OS_WT_1h_BR4
2311,C,GFP_BAR_006,6817,U2OS_WT_1h_BR4
2312,G,GFP_BAR_006,3,U2OS_WT_1h_BR4
2313,T,GFP_BAR_006,23,U2OS_WT_1h_BR4
2314,del,GFP_BAR_006,50,U2OS_WT_1h_BR4
2315,del_mh,GFP_BAR_006,2,U2OS_WT_1h_BR4
2316,del_nomh,GFP_BAR_006,48,U2OS_WT_1h_BR4
2317,ins,GFP_BAR_006,0,U2OS_WT_1h_BR4
2318,repaired,GFP_BAR_006,6817,U2OS_WT_1h_BR4
2319,total,GFP_BAR_006,7708,U2OS_WT_1h_BR4
2320,unrepaired,GFP_BAR_006,815,U2OS_WT_1h_BR4
2321,A,GFP_BAR_007,7,U2OS_WT_1h_BR4
2322,C,GFP_BAR_007,11,U2OS_WT_1h_BR4
2323,G,GFP_BAR_007,641,U2OS_WT_1h_BR4
2324,T,GFP_BAR_007,1773,U2OS_WT_1h_BR4
2325,del,GFP_BAR_007,81,U2OS_WT_1h_BR4
2326,del_mh,GFP_BAR_007,1,U2OS_WT_1h_BR4
2327,del_nomh,GFP_BAR_007,80,U2OS_WT_1h_BR4
2328,ins,GFP_BAR_007,0,U2OS_WT_1h_BR4
2329,repaired,GFP_BAR_007,641,U2OS_WT_1h_BR4
