,pathway,sd,value,sample
224,NHEJ,0.020331059751191566,1.3848560700876096,TK6_PolQ_4h_BR0
225,BER_8oxoG_C,0.0024937607930823388,0.9378265969926416,TK6_WT_2h_BR2
226,BER_A_8oxoG,0.00440984935950454,0.8055107360059576,TK6_WT_2h_BR2
227,BER_Hx,0.003902281482858188,0.7232958003651856,TK6_WT_2h_BR2
228,BER_UG,0.0009665662534582316,0.9875828445189304,TK6_WT_2h_BR2
229,DR_O6MeG,0.0034046310507781763,0.14668024817112696,TK6_WT_2h_BR2
230,MMEJ,0.0009810817823012131,0.0066320645905421,TK6_WT_2h_BR2
231,MMR,0.002793263081829058,0.06504169339320078,TK6_WT_2h_BR2
232,NER,0.0018854521546918582,0.024077277970011534,TK6_WT_2h_BR2
233,NHEJ,0.029236825192421045,1.9857266435986158,TK6_WT_2h_BR2
234,BER_8oxoG_C,0.0034678002176903974,0.9056869369369369,TK6_WT_1h_BR3
235,BER_A_8oxoG,0.007417191249303473,0.6390081068192656,TK6_WT_1h_BR3
236,BER_Hx,0.004530574541820967,0.6305726872246696,TK6_WT_1h_BR3
237,BER_UG,0.0011493863171633029,0.9866559646834554,TK6_WT_1h_BR3
238,DR_O6MeG,0.0038765186786529167,0.12837384181549616,TK6_WT_1h_BR3
239,MMEJ,0.0004965633841986246,0.0014035087719298245,TK6_WT_1h_BR3
240,MMR,0.0030077305348787014,0.054001416430594903,TK6_WT_1h_BR3
241,NER,0.0015498307122537654,0.013508771929824562,TK6_WT_1h_BR3
242,NHEJ,0.02553664561223034,1.4917543859649123,TK6_WT_1h_BR3
243,BER_8oxoG_C,0.004854289942684567,0.8752697453603798,HAP1_WT_4h_BR1
244,BER_A_8oxoG,0.005723786718991647,0.8344794877875267,HAP1_WT_4h_BR1
245,BER_Hx,0.00470992411357462,0.8102726879238206,HAP1_WT_4h_BR1
246,BER_UG,0.0005883299605630411,0.9977189781021898,HAP1_WT_4h_BR1
247,DR_O6MeG,0.004551690084949312,0.8776770210302913,HAP1_WT_4h_BR1
248,MMEJ,0.0010210437749535184,0.002497918401332223,HAP1_WT_4h_BR1
249,MMR,0.00992844799176848,0.28426150121065374,HAP1_WT_4h_BR1
