cell_line,MGMT,OGG1,MUTYH,UNG,MPG,MLH1,MSH2,MSH6,XPA,LIG4,DR_O6MeG,BER_8oxoG_C,BER_A_8oxoG,BER_UG,BER_Hx,MMR,MMR,MMR,NER,NHEJ
143B,0.013585303,0.09013229,0.14052078,0.33015817,0.6114969,0.18448576,0.51592547,0.64228797,0.14707711,0.06314789,0.2583204603725728,0.9320558498893523,0.7418522956335127,0.9969103716371659,0.8929394765522907,0.2531818004337582,0.2531818004337582,0.2531818004337582,-0.8777889316597718,-0.0005973669627894164
ALLSIL,0.0101107815,0.10954762,0.18007937,0.50259125,0.44515347,0.26807874,0.8122707,0.903166,0.30542812,0.11277528,0.22327020012520388,0.8843517974757149,0.7383866968031313,0.997283900370693,0.8665218680666762,0.31916620848703975,0.31916620848703975,0.31916620848703975,-0.951746072150442,-0.06311956338057564
C8166,0.17587462,0.079226986,0.075267866,0.30111742,0.41959813,0.23000418,0.5872404,0.49598297,0.16854219,0.08585695,0.8251836197861583,0.8869404450967587,0.48812699186828257,0.9934238087479303,0.8465439721033842,0.141176379337278,0.141176379337278,0.141176379337278,-0.98949309805593,-0.017133968679609705
CHLA06ATRT,0.5466415,0.11133271,0.070086725,0.1899617,0.90658915,0.13179429,0.33065224,0.36902204,0.20377316,0.08019439,0.942229770668763,0.9189557918266634,0.555846405201803,0.9851739458858423,0.934949712770827,0.12527046525309857,0.12527046525309857,0.12527046525309857,-1.0586174768190098,0.17947408193235248
DND41,0.631478,0.06519828,0.19689694,0.4370214,0.47944036,0.19254088,0.7168387,0.78336674,0.3388869,0.08019478,0.9627013964038018,0.8836934217972447,0.6921162246593671,0.9959556492101407,0.8608253784045227,0.016413768974998924,0.016413768974998924,0.016413768974998924,-1.0283182597334646,0.05430142217643745
EOL1,0.013294554,0.060119428,0.049520608,0.12616765,0.46678424,0.107865274,0.11693055,0.24511665,0.045508143,0.024091108,0.32074633898796573,0.8043448180434482,0.31960860332229624,0.9842757670663898,0.6985784753778238,0.14044702342574683,0.14044702342574683,0.14044702342574683,-1.2832397694092854,-0.34702050518375416
HAP1,0.29214358,0.104520135,0.07458292,0.34759447,0.75252396,0.27647778,0.52924424,0.75946575,0.20522952,0.07619846,0.8734172558766484,0.8782577051144946,0.07920780785353584,0.993317469299227,0.9382284416854132,0.1784733325966495,0.1784733325966495,0.1784733325966495,-1.1502756255884319,0.06431040163608472
HELA,0.33944815,0.12327252,0.08185726,0.55322355,0.6666744,0.25311178,0.5083702,0.6221331,0.12495446,0.0689085,0.9210872304686184,0.9110945211010211,0.5227078302869896,0.9969201056748983,0.9036760547817805,0.14631864431342856,0.14631864431342856,0.14631864431342856,-2.0357360747773066,0.1659511999406627
JM1,0.15578166,0.1115778,0.104210526,0.28105995,0.29947397,0.16379863,0.7958784,1.4644845,0.19381057,0.10756074,0.8594717989355795,0.841487141604646,0.5199522270389333,0.9818172332167561,0.8109186819480027,0.3301149892378294,0.3301149892378294,0.3301149892378294,-1.1684781830503497,-0.304986539634244
JURKAT,0.56191856,0.1302175,0.22105168,0.5601215,0.5210197,0.29105783,0.30310175,0.20447336,0.21443261,0.27260274,0.9470302792128596,0.9193387954810589,0.6518921628728381,0.9954391408857671,0.8958661313971662,0.01391443584545531,0.01391443584545531,0.01391443584545531,-1.0922158243913969,0.048250800720396
KHM1B,0.019128596,0.070925504,0.0734812,0.25525618,0.43732882,0.17152733,0.42460462,0.52250755,0.3403323,0.066169865,0.19832909881505903,0.9238795893537431,0.5610221495419598,0.9892366858802621,0.8608507767054209,0.15383926315109914,0.15383926315109914,0.15383926315109914,-1.120870696127779,-0.018058813320244782
NALM6,0.8939617,0.04896577,0.13147771,0.3013093,0.6032993,0.20624478,0.7050932,0.87141097,0.22805887,0.3614629,0.9743535986983145,0.8193479553404944,0.6378669411673243,0.9918766145250354,0.8982441243912015,0.012891958398041418,0.012891958398041418,0.012891958398041418,-0.8709697533696451,-0.25223670865119907
