cell_line,MGMT,DR_O6MeG,MMR
143B,0.014040264,0.2583204603725728,0.2531818004337582
ALLSIL,0.0021909194,0.22327020012520388,0.31916620848703975
C8166,0.16291803,0.8251836197861583,0.141176379337278
CHLA06ATRT,0.541673,0.942229770668763,0.12527046525309857
DND41,0.4416,0.9627013964038018,0.016413768974998924
EOL1,0.0,0.32074633898796573,0.14044702342574683
HAP1,0.34135652,0.8734172558766484,0.1784733325966495
HELA,0.34130058,0.9210872304686184,0.14631864431342856
JM1,0.10889013,0.8594717989355795,0.3301149892378294
JURKAT,0.51931876,0.9470302792128596,0.01391443584545531
KHM1B,0.025961949,0.19832909881505903,0.15383926315109914
NALM6,0.66696274,0.9743535986983145,0.012891958398041418
PF382,0.37892902,0.9750923437142766,0.034941326532099554
RH30,0.024044884,0.16819171992672946,0.17486393088224947
SAOS2,0.033211436,0.28611730962907306,0.14725605818327753
SUPT11,0.28701243,0.9517234640561814,0.2926999523115588
TE617T,0.39329976,0.9646796449217058,0.10221543250780801
TK6_ATCC,0.0131541435,0.20144150771288769,0.1765117579849769
U2OS,0.1652473,0.7627552451430619,0.15088268610253464
