,pathway,sample,N UMIs,mean_repair,ci95_low,ci95_high
0,MMR,U2OS_MSH2_4h_BR3,1000,0.0034651159872859483,0.0,0.016129032258064516
1,MMR,U2OS_MSH2_4h_BR3,1668,0.003316490691265835,0.0,0.0133989448051948
2,MMR,U2OS_MSH2_4h_BR3,2782,0.0036380668793021746,0.0,0.011143621794121547
3,MMR,U2OS_MSH2_4h_BR3,4641,0.0033224485038123573,0.0,0.008320861099730487
4,MMR,U2OS_MSH2_4h_BR3,7742,0.0032738335494514807,0.0,0.007498008984868285
5,MMR,U2OS_MSH2_4h_BR3,12915,0.0032977863051170658,0.0006031090750772167,0.0061938682622870896
6,MMR,U2OS_MSH2_4h_BR3,21544,0.003321189848102436,0.0014093936765491354,0.0056241987234050455
7,MMR,U2OS_MSH2_4h_BR3,35938,0.0033708314201309365,0.001878492840534074,0.005102694924123494
8,MMR,U2OS_MSH2_4h_BR3,59948,0.0033056691306107347,0.0021458011264743086,0.004650096074576952
9,MMR,U2OS_MSH2_4h_BR3,100000,0.0033280442031130993,0.0023713511104962743,0.004370399622488287
10,MMR,U2OS_WT_4h_BR3,1000,0.10735004606581866,0.04079591836734694,0.17721518987341772
11,MMR,U2OS_WT_4h_BR3,1668,0.10837680066994582,0.05970149253731343,0.16000763358778625
12,MMR,U2OS_WT_4h_BR3,2782,0.10993599753259471,0.07172242314647378,0.15088429156044544
13,MMR,U2OS_WT_4h_BR3,4641,0.10979293381864885,0.08121661307040157,0.14395886889460155
14,MMR,U2OS_WT_4h_BR3,7742,0.10848040877935186,0.08557762880477211,0.13281308302238806
15,MMR,U2OS_WT_4h_BR3,12915,0.10884757889027286,0.08980744861463792,0.1285930405394409
16,MMR,U2OS_WT_4h_BR3,21544,0.10889307403269088,0.093310200099235,0.12486298292902066
17,MMR,U2OS_WT_4h_BR3,35938,0.10917262287214638,0.09834410853484664,0.12029336254538586
18,MMR,U2OS_WT_4h_BR3,59948,0.10903070397029886,0.1012476879693369,0.11803334903456841
19,MMR,U2OS_WT_4h_BR3,100000,0.10892032547870757,0.10235926130668384,0.11573608428812575
20,DR (O6MeG),U2OS_MGMT_2h_BR2,1000,0.17214545196943934,0.10313761097659402,0.24003448275862066
21,DR (O6MeG),U2OS_MGMT_2h_BR2,1668,0.1707115062587482,0.11827129859387925,0.23078703703703704
22,DR (O6MeG),U2OS_MGMT_2h_BR2,2782,0.17095674345407175,0.13014100785945448,0.21153985507246376
23,DR (O6MeG),U2OS_MGMT_2h_BR2,4641,0.17034354725215464,0.1408689528475199,0.20265622118753457
24,DR (O6MeG),U2OS_MGMT_2h_BR2,7742,0.17138712646513457,0.14847835059688885,0.19649372009569377
25,DR (O6MeG),U2OS_MGMT_2h_BR2,12915,0.17063716407434715,0.15092148142495035,0.19004964179901057
26,DR (O6MeG),U2OS_MGMT_2h_BR2,21544,0.17059433829855325,0.15570776953874746,0.18589132199510272
