,cell_line,cycling,pathway,repair,n
136,SAOS2,yes,BER_8oxoG_C,0.8771682093946223,41
137,SUPT11,yes,BER_8oxoG_C,0.7677846632251689,16
138,TE617T,no,BER_8oxoG_C,0.9388996991300821,13
140,TK6_ATCC,no,BER_8oxoG_C,0.922936481257015,10
141,TK6_ATCC,yes,BER_8oxoG_C,0.9452609485690997,21
142,U2OS,no,BER_8oxoG_C,0.821388224568135,203
143,U2OS,yes,BER_8oxoG_C,0.8431278119231768,235
144,143B,no,BER_A_8oxoG,0.7294785629716013,280
145,143B,yes,BER_A_8oxoG,0.7477445492820418,588
146,ALLSIL,no,BER_A_8oxoG,0.7284583425526066,25
147,ALLSIL,yes,BER_A_8oxoG,0.7403723676532363,125
148,C8166,no,BER_A_8oxoG,0.4177614745268451,52
149,C8166,yes,BER_A_8oxoG,0.5121994056956164,152
150,CHLA06ATRT,no,BER_A_8oxoG,0.5409201815760281,128
151,CHLA06ATRT,yes,BER_A_8oxoG,0.5956496682038692,48
153,DND41,yes,BER_A_8oxoG,0.6926349396864403,19
157,HAP1,yes,BER_A_8oxoG,0.078757387707514,39
158,HELA,no,BER_A_8oxoG,0.44296129859392147,18
159,HELA,yes,BER_A_8oxoG,0.5286149807827725,243
161,JM1,yes,BER_A_8oxoG,0.5464204655954453,29
162,JURKAT,no,BER_A_8oxoG,0.5751378445780339,26
163,JURKAT,yes,BER_A_8oxoG,0.660277088400842,238
164,KHM1B,yes,BER_A_8oxoG,0.5610221495419598,26
166,NALM6,yes,BER_A_8oxoG,0.6418708691580742,52
168,PF382,yes,BER_A_8oxoG,0.6308050835770647,57
169,RH30,no,BER_A_8oxoG,0.5677637619311235,77
170,RH30,yes,BER_A_8oxoG,0.6328423735492125,84
171,SAOS2,no,BER_A_8oxoG,0.40645507996791574,89
172,SAOS2,yes,BER_A_8oxoG,0.47226707690419356,41
173,SUPT11,yes,BER_A_8oxoG,0.4701102643593092,16
174,TE617T,no,BER_A_8oxoG,0.5688946663203706,13
176,TK6_ATCC,no,BER_A_8oxoG,0.6200420619585973,10
177,TK6_ATCC,yes,BER_A_8oxoG,0.6995925963789841,21
178,U2OS,no,BER_A_8oxoG,0.514200703000554,203
179,U2OS,yes,BER_A_8oxoG,0.5692866161723142,235
180,143B,no,BER_UG,0.9962521701209084,280
181,143B,yes,BER_UG,0.9972238009306218,588
182,ALLSIL,no,BER_UG,0.9973417206940831,25
183,ALLSIL,yes,BER_UG,0.9972723363060151,125
184,C8166,no,BER_UG,0.9886535540636655,52
185,C8166,yes,BER_UG,0.9950557379820208,152
186,CHLA06ATRT,no,BER_UG,0.9871224935325073,128
187,CHLA06ATRT,yes,BER_UG,0.9799778188280696,48
189,DND41,yes,BER_UG,0.9963943218071616,19
193,HAP1,yes,BER_UG,0.9931461223581817,39
194,HELA,no,BER_UG,0.9976926657503681,18
195,HELA,yes,BER_UG,0.9968628790026413,243
197,JM1,yes,BER_UG,0.9775804193279001,29
198,JURKAT,no,BER_UG,0.9900890914920678,26
199,JURKAT,yes,BER_UG,0.99602360006323,238
200,KHM1B,yes,BER_UG,0.9892366858802621,26
202,NALM6,yes,BER_UG,0.9915963870496992,52
204,PF382,yes,BER_UG,0.9912421975251413,57
205,RH30,no,BER_UG,0.9740818970940758,77
206,RH30,yes,BER_UG,0.9827881747087811,84
207,SAOS2,no,BER_UG,0.985925876913701,89
208,SAOS2,yes,BER_UG,0.9913271252820346,41
209,SUPT11,yes,BER_UG,0.9792801573358216,16
210,TE617T,no,BER_UG,0.9837758209295705,13
212,TK6_ATCC,no,BER_UG,0.9541909310021154,10
213,TK6_ATCC,yes,BER_UG,0.9744385079787383,21
214,U2OS,no,BER_UG,0.9875392760024267,203
215,U2OS,yes,BER_UG,0.997295059290548,235
216,143B,no,BER_Hx,0.9189514667354357,280
217,143B,yes,BER_Hx,0.8805528145603168,588
218,ALLSIL,no,BER_Hx,0.8982928039112056,25
219,ALLSIL,yes,BER_Hx,0.8601676808977702,125
220,C8166,no,BER_Hx,0.8196491272069693,52
221,C8166,yes,BER_Hx,0.8557448400942629,152
222,CHLA06ATRT,no,BER_Hx,0.9449828726418859,128
223,CHLA06ATRT,yes,BER_Hx,0.908194619781337,48
