,label,pathway,N cells,mean_repair,ci95_low,ci95_high
0,143B,BER_8oxoG_C,1,0.9321437951763523,0.8604181348367395,0.9825235109717868
1,143B,BER_8oxoG_C,2,0.9336315152930026,0.8764650247159365,0.973569316931788
2,143B,BER_8oxoG_C,3,0.9319332941910712,0.8869155401294212,0.9645524699364226
3,143B,BER_8oxoG_C,4,0.9330974246372588,0.8965854977964579,0.9616995225278757
4,143B,BER_8oxoG_C,5,0.9319601266343235,0.8985684150188562,0.95784847181074
5,143B,BER_8oxoG_C,10,0.9320623717744841,0.9099705562296906,0.9508671412594191
6,143B,BER_8oxoG_C,20,0.9317151496731255,0.9152025409036884,0.9462971556022324
7,143B,BER_8oxoG_C,30,0.9316223920613906,0.9184581934582899,0.9441459081719544
8,143B,BER_8oxoG_C,100,0.9319506185159062,0.9245132635701527,0.9388248481171004
9,143B,BER_8oxoG_C,500,0.932043632624695,0.9290283102611266,0.9350782870688563
10,143B,BER_A_8oxoG,1,0.7422229473492334,0.5371782650142993,0.8752577319587629
11,143B,BER_A_8oxoG,2,0.7417426254875974,0.5798218523917724,0.8407858670611461
12,143B,BER_A_8oxoG,3,0.7405295946703988,0.6253494630552148,0.8262910220809723
13,143B,BER_A_8oxoG,4,0.7405792737458914,0.6429526480395378,0.8163056735296047
14,143B,BER_A_8oxoG,5,0.7412888567727937,0.6555675170785065,0.808004806854491
15,143B,BER_A_8oxoG,10,0.7414772351448092,0.680568675940885,0.7950772339431711
16,143B,BER_A_8oxoG,20,0.7429122867717873,0.7006421920171504,0.7790164806816889
17,143B,BER_A_8oxoG,30,0.7420045573959978,0.7073647558888095,0.7724068746246553
18,143B,BER_A_8oxoG,100,0.7420294741376637,0.7231356140887419,0.7597649088477318
19,143B,BER_A_8oxoG,500,0.7417815235199766,0.73354816353989,0.7494364380659603
20,143B,BER_Hx,1,0.8927791726889478,0.7821522369568561,0.9833492601726264
21,143B,BER_Hx,2,0.891994823324408,0.8088928982026329,0.9577176957739618
22,143B,BER_Hx,3,0.892198952606502,0.822755288855706,0.9524577831279589
23,143B,BER_Hx,4,0.8936096983058782,0.8324826642361607,0.9424481211350778
24,143B,BER_Hx,5,0.8914495095321098,0.8448243937809812,0.9349730852047523
25,143B,BER_Hx,10,0.892782159947566,0.8578713322204642,0.9256938842199501
26,143B,BER_Hx,20,0.8930312460547061,0.8696354351075983,0.9150006884894073
27,143B,BER_Hx,30,0.8927378444069519,0.8740452894391143,0.912880455734653
28,143B,BER_Hx,100,0.8930691511265525,0.8823979534079316,0.9036668646413261
29,143B,BER_Hx,500,0.8930627780353584,0.8886967772743047,0.8974589344367053
30,143B,BER_UG,1,0.9966913368212409,0.9814621793542142,1.0
31,143B,BER_UG,2,0.9970786498445697,0.9874535610498639,1.0
32,143B,BER_UG,3,0.9969859140045589,0.9846329296074252,1.0
33,143B,BER_UG,4,0.9968896176016468,0.9843771105925635,1.0
34,143B,BER_UG,5,0.9967199182214158,0.9855850964308707,0.9998448810754912
35,143B,BER_UG,10,0.9968803314789229,0.9898249954046716,0.9994273639447508
36,143B,BER_UG,20,0.9968479473602401,0.9926271607753201,0.9989141338285001
37,143B,BER_UG,30,0.996849436802148,0.9936422931855956,0.9986939415915631
38,143B,BER_UG,100,0.9968867368040447,0.9952586283133183,0.9981400936135727
39,143B,BER_UG,500,0.9969037824911854,0.9961996716080325,0.9975082006143884
40,143B,DR_O6MeG,1,0.25901650283778954,0.13442622950819672,0.44753662244333886
41,143B,DR_O6MeG,2,0.2574900050646405,0.1590770847496946,0.38642273487382184
42,143B,DR_O6MeG,3,0.25799407222585746,0.17565471550871672,0.3704802530919325
43,143B,DR_O6MeG,4,0.25818405437599296,0.18762689855900613,0.35113772267817533
44,143B,DR_O6MeG,5,0.2573102324654884,0.19323735441488477,0.34386627242821494
45,143B,DR_O6MeG,10,0.2583196614912726,0.20811958565952396,0.31770727066385146
46,143B,DR_O6MeG,20,0.2586357346918692,0.22334358245913088,0.29742968805292963
47,143B,DR_O6MeG,30,0.25874744638742836,0.23293330088952574,0.2924140263552823
48,143B,DR_O6MeG,100,0.25855188907429244,0.242678308991388,0.274480495064267
49,143B,DR_O6MeG,500,0.2582650210671983,0.251407755742707,0.2659594693648913
50,143B,MMR,1,0.24850051184482033,0.025681154051940568,0.6428626373626374
51,143B,MMR,2,0.2544409722050245,0.06045951024208234,0.4995708697421605
52,143B,MMR,3,0.2550816496771933,0.08898476932922468,0.45904450590069074
53,143B,MMR,4,0.25067300279635746,0.1049709534023703,0.42118950361224083
54,143B,MMR,5,0.2522980130677492,0.12303934013128465,0.39929886426731104
55,143B,MMR,10,0.2535766541624614,0.16529212255048206,0.36731706903986494
56,143B,MMR,20,0.25249408534317075,0.1844581683745539,0.33076148933891636
57,143B,MMR,30,0.25348986537498214,0.1955575903951039,0.3145294378596615
58,143B,MMR,100,0.25292016850578014,0.22182199469975314,0.2841806516215737
59,143B,MMR,500,0.25331079914945165,0.23871488832594817,0.26757351504676163
60,143B,NER,1,0.1321058209645562,0.0,0.6344085931777954
61,143B,NER,2,0.1329389055329375,0.015234187548048794,0.4801451273262495
62,143B,NER,3,0.1321379892611876,0.02498327624052763,0.4006011717021463
63,143B,NER,4,0.12629428378958255,0.027875700732693076,0.3476311013102531
64,143B,NER,5,0.13509618606604637,0.039496151451021436,0.3324473813176154
65,143B,NER,10,0.13637478432059288,0.06247485326603055,0.2850212939083575
66,143B,NER,20,0.13336649892106653,0.07349345311522484,0.23423531390726565
67,143B,NER,30,0.1329442897439003,0.08163614235818387,0.20818155109882353
68,143B,NER,100,0.1320413370579481,0.10196195319294929,0.16837932989001272
69,143B,NER,500,0.13259551722556354,0.11864956039935351,0.14737304747104646
70,143B,NHEJ,1,0.992877256475389,0.36082473397254944,1.833690166473388
71,143B,NHEJ,2,1.0058068165183067,0.5311770856380462,1.654931116104125
