,label,pathway,N cells,mean_repair,ci95_low,ci95_high
0,143B,BER_8oxoG_C,1,0.9341521072856934,0.8483934169278997,0.9836686274509804
1,143B,BER_8oxoG_C,2,0.9311528233575034,0.8762012240587361,0.970287548849922
2,143B,BER_8oxoG_C,3,0.9319576854812792,0.885198231327713,0.9682466674153509
3,143B,BER_8oxoG_C,4,0.9310239176339918,0.8846222189293811,0.9622551184749945
4,143B,BER_8oxoG_C,5,0.930727423581004,0.8949037713666906,0.9582798857597135
5,143B,BER_8oxoG_C,10,0.9323782791491405,0.9098295423310918,0.9537987258336911
6,143B,BER_8oxoG_C,20,0.9318054047410195,0.9157862759619926,0.9471920418755437
7,143B,BER_8oxoG_C,30,0.9322302753814051,0.919038789542677,0.9439096967961342
8,143B,BER_8oxoG_C,100,0.9321269089882576,0.9250120483386843,0.939105907352739
9,143B,BER_8oxoG_C,500,0.9320764643755493,0.9289873617124355,0.9351696112796369
10,143B,BER_A_8oxoG,1,0.7436522305035494,0.5371782650142993,0.8928824123989219
11,143B,BER_A_8oxoG,2,0.7413851678973505,0.5846846867289831,0.8500608832494643
12,143B,BER_A_8oxoG,3,0.7397573303853447,0.616661717661986,0.8306606080124377
13,143B,BER_A_8oxoG,4,0.7407114895263197,0.6422917138627481,0.8199599466098493
14,143B,BER_A_8oxoG,5,0.741993781899954,0.6521808880378399,0.8161347106869195
15,143B,BER_A_8oxoG,10,0.7422793202509662,0.6828236796656812,0.7917097780734929
16,143B,BER_A_8oxoG,20,0.7419245860728761,0.6979060864344109,0.7790137882943639
17,143B,BER_A_8oxoG,30,0.7416390289067575,0.7059593870343769,0.7723591648003146
18,143B,BER_A_8oxoG,100,0.7421935065297184,0.7241962159215554,0.7592723329663027
19,143B,BER_A_8oxoG,500,0.7418243974968521,0.7338442227125465,0.7497091492799399
20,143B,BER_Hx,1,0.8933633313569039,0.7738913162705667,0.9895833333333334
21,143B,BER_Hx,2,0.8918206771510009,0.8060696821183343,0.9623271324888151
22,143B,BER_Hx,3,0.8913038481892697,0.8231789893480304,0.9458269751805236
23,143B,BER_Hx,4,0.8924595435568967,0.8329481310354317,0.9391979306541859
24,143B,BER_Hx,5,0.8928113490043689,0.8399340377220668,0.9357487537019307
25,143B,BER_Hx,10,0.8931509314879051,0.85910892893936,0.9271578136701772
26,143B,BER_Hx,20,0.8925203574087032,0.867852420316258,0.9153569243935757
27,143B,BER_Hx,30,0.8933901808068929,0.874032458410151,0.9121691115535755
28,143B,BER_Hx,100,0.8927704374278534,0.8821969892541368,0.9035731124927527
29,143B,BER_Hx,500,0.8928133767237504,0.8874432115244042,0.8977323602583392
30,143B,BER_UG,1,0.9967927967235348,0.9815950920245399,1.0
31,143B,BER_UG,2,0.9971002480984935,0.9874291747727856,1.0
32,143B,BER_UG,3,0.9967638455324012,0.9822866344605474,1.0
33,143B,BER_UG,4,0.9967616161972145,0.9867036846750441,1.0
34,143B,BER_UG,5,0.9967614664788381,0.984547131431659,0.999859943977591
35,143B,BER_UG,10,0.9969217071219019,0.9903232720069116,0.9994444668418512
36,143B,BER_UG,20,0.9968591657731442,0.992420365580571,0.9989489235846634
37,143B,BER_UG,30,0.9969070635853908,0.9938729874227881,0.9986319185130901
38,143B,BER_UG,100,0.9969207123854325,0.9951821225862474,0.9980508053142323
39,143B,BER_UG,500,0.9968966480648598,0.9962464965986323,0.9974748403055755
40,143B,DR_O6MeG,1,0.25892212674471543,0.13795094016047038,0.45395624670532414
